city,date,temperature,humidity,pressure,precipitation,wind_speed
Chennai,2026-07-03 03:00:00,30.7,55,1005.3,0.0,15.0
Chennai,2026-07-03 04:00:00,30.3,57,1005.7,0.0,16.4
Chennai,2026-07-03 05:00:00,30.1,62,1005.6,0.0,15.0
Chennai,2026-07-03 06:00:00,29.9,61,1006.1,0.0,15.8
Chennai,2026-07-03 07:00:00,30.6,59,1006.5,0.0,16.1
Chennai,2026-07-03 08:00:00,31.5,55,1006.2,0.0,17.4
Chennai,2026-07-03 09:00:00,32.1,53,1006.6,0.0,19.7
Chennai,2026-07-03 10:00:00,32.6,53,1006.7,0.1,15.2
Chennai,2026-07-03 11:00:00,34.5,45,1006.4,0.1,23.0
Chennai,2026-07-03 12:00:00,34.7,44,1006.3,0.0,17.8
Chennai,2026-07-03 13:00:00,35.0,43,1005.7,0.0,17.3
Chennai,2026-07-03 14:00:00,35.4,41,1004.3,0.0,16.9
Chennai,2026-07-03 15:00:00,36.1,39,1003.6,0.0,16.2
Chennai,2026-07-03 16:00:00,33.3,50,1003.8,0.5,18.2
Chennai,2026-07-03 17:00:00,32.8,55,1004.0,0.0,14.5
Chennai,2026-07-03 18:00:00,32.1,58,1004.1,0.0,13.6
Chennai,2026-07-03 19:00:00,31.9,60,1004.6,0.0,14.7
Chennai,2026-07-03 20:00:00,31.3,63,1006.1,0.0,16.9
Chennai,2026-07-03 21:00:00,28.9,74,1006.8,0.2,14.2
Chennai,2026-07-03 22:00:00,29.1,75,1007.0,0.0,13.8
Chennai,2026-07-03 23:00:00,31.2,59,1005.8,0.1,14.1
Chennai,2026-07-04 00:00:00,30.8,56,1005.4,0.0,15.5
Chennai,2026-07-04 01:00:00,30.5,54,1005.3,0.0,17.7
Chennai,2026-07-04 02:00:00,30.6,53,1004.9,0.0,17.1
Chennai,2026-07-04 03:00:00,30.1,56,1004.8,0.0,17.7
Chennai,2026-07-04 04:00:00,29.3,60,1005.1,0.0,15.9
Chennai,2026-07-04 05:00:00,29.0,65,1005.4,0.5,16.0
Chennai,2026-07-04 06:00:00,27.5,73,1006.2,0.7,15.8
Chennai,2026-07-04 07:00:00,26.1,86,1006.4,3.0,13.5
Chennai,2026-07-04 08:00:00,27.0,80,1006.8,0.5,12.7
Chennai,2026-07-04 09:00:00,27.9,74,1006.9,0.4,11.8
Chennai,2026-07-04 10:00:00,28.7,70,1006.3,0.1,9.9
Chennai,2026-07-04 11:00:00,30.6,59,1005.5,0.0,11.8
Chennai,2026-07-04 12:00:00,31.4,56,1005.2,0.0,15.0
Chennai,2026-07-04 13:00:00,32.3,52,1004.3,0.0,17.3
Chennai,2026-07-04 14:00:00,32.5,51,1003.2,0.0,15.8
Chennai,2026-07-04 15:00:00,31.5,55,1003.2,0.1,16.4
Chennai,2026-07-04 16:00:00,31.2,58,1002.8,0.1,14.8
Chennai,2026-07-04 17:00:00,32.2,53,1002.8,0.0,14.8
Chennai,2026-07-04 18:00:00,31.1,61,1003.4,0.0,17.6
Chennai,2026-07-04 19:00:00,30.6,64,1004.0,0.0,14.3
Chennai,2026-07-04 20:00:00,31.1,60,1004.3,0.0,18.2
Chennai,2026-07-04 21:00:00,31.3,57,1004.7,0.1,17.6
Chennai,2026-07-04 22:00:00,30.7,57,1005.2,0.3,17.3
Chennai,2026-07-04 23:00:00,32.1,47,1004.7,0.0,17.2
Chennai,2026-07-05 00:00:00,31.9,45,1004.5,0.0,18.8
Chennai,2026-07-05 01:00:00,31.4,47,1004.4,0.0,19.0
Chennai,2026-07-05 02:00:00,30.8,50,1004.2,0.0,17.9
Chennai,2026-07-05 03:00:00,30.5,52,1004.4,0.0,17.1
Chennai,2026-07-05 04:00:00,30.1,54,1004.8,0.0,15.6
Chennai,2026-07-05 05:00:00,30.2,55,1004.3,0.0,18.4
Chennai,2026-07-05 06:00:00,30.3,54,1004.7,0.0,18.7
Chennai,2026-07-05 07:00:00,30.8,52,1005.5,0.0,15.7
Chennai,2026-07-05 08:00:00,32.3,48,1006.1,0.0,18.1
Chennai,2026-07-05 09:00:00,33.4,46,1006.1,0.0,18.8
Chennai,2026-07-05 10:00:00,34.7,43,1005.5,0.0,19.4
Chennai,2026-07-05 11:00:00,35.9,40,1004.7,0.0,20.1
Chennai,2026-07-05 12:00:00,36.4,38,1004.1,0.0,21.0
Chennai,2026-07-05 13:00:00,37.8,34,1003.3,0.0,20.2
Chennai,2026-07-05 14:00:00,37.2,33,1002.6,0.0,21.3
Chennai,2026-07-05 15:00:00,37.2,31,1002.0,0.0,19.6
Chennai,2026-07-05 16:00:00,38.4,27,1001.5,0.0,19.4
Chennai,2026-07-05 17:00:00,38.1,28,1002.1,0.0,20.5
Chennai,2026-07-05 18:00:00,37.1,31,1002.7,0.0,18.0
Chennai,2026-07-05 19:00:00,35.9,32,1003.4,0.0,15.8
Chennai,2026-07-05 20:00:00,34.7,35,1004.5,0.0,16.8
Chennai,2026-07-05 21:00:00,34.1,34,1005.5,0.0,19.0
Chennai,2026-07-05 22:00:00,33.5,34,1005.8,0.0,18.2
Chennai,2026-07-05 23:00:00,33.3,35,1005.1,0.0,19.7
Chennai,2026-07-06 00:00:00,32.0,39,1004.8,0.0,19.4
Chennai,2026-07-06 01:00:00,31.2,42,1004.9,0.0,17.6
Chennai,2026-07-06 02:00:00,30.4,44,1004.8,0.0,15.2
Chennai,2026-07-06 03:00:00,29.8,47,1005.1,0.0,12.9
Chennai,2026-07-06 04:00:00,29.4,49,1005.2,0.0,12.4
Chennai,2026-07-06 05:00:00,29.7,50,1005.1,0.0,14.5
Chennai,2026-07-06 06:00:00,29.4,51,1005.3,0.0,12.9
Chennai,2026-07-06 07:00:00,30.5,48,1005.9,0.0,12.8
Chennai,2026-07-06 08:00:00,32.0,45,1006.0,0.0,17.3
Chennai,2026-07-06 09:00:00,33.3,43,1005.8,0.0,17.3
Chennai,2026-07-06 10:00:00,34.6,41,1005.8,0.0,18.1
Chennai,2026-07-06 11:00:00,35.8,38,1005.1,0.0,21.6
Chennai,2026-07-06 12:00:00,36.5,36,1004.3,0.0,23.5
Chennai,2026-07-06 13:00:00,38.0,32,1003.1,0.0,23.9
Chennai,2026-07-06 14:00:00,38.9,30,1002.2,0.0,25.0
Chennai,2026-07-06 15:00:00,38.6,29,1001.8,0.0,26.1
Chennai,2026-07-06 16:00:00,38.3,30,1001.5,0.0,26.3
Chennai,2026-07-06 17:00:00,39.2,27,1001.5,0.0,22.2
Chennai,2026-07-06 18:00:00,37.2,31,1002.8,0.0,19.2
Chennai,2026-07-06 19:00:00,35.0,35,1003.6,0.0,16.0
Chennai,2026-07-06 20:00:00,35.3,34,1004.5,0.0,16.3
Chennai,2026-07-06 21:00:00,34.4,36,1005.2,0.0,12.8
Chennai,2026-07-06 22:00:00,32.0,54,1005.8,0.0,10.8
Chennai,2026-07-06 23:00:00,33.8,39,1005.6,0.0,16.4
Chennai,2026-07-07 00:00:00,32.7,43,1005.5,0.0,15.1
Chennai,2026-07-07 01:00:00,32.0,45,1004.9,0.0,12.5
Chennai,2026-07-07 02:00:00,31.1,48,1005.2,0.0,11.0
Chennai,2026-07-07 03:00:00,30.5,50,1005.4,0.0,10.8
Chennai,2026-07-07 04:00:00,30.2,52,1005.8,0.0,10.3
Chennai,2026-07-07 05:00:00,30.6,54,1005.8,0.0,11.8
Chennai,2026-07-07 06:00:00,30.3,56,1006.5,0.0,12.0
Chennai,2026-07-07 07:00:00,31.4,52,1007.2,0.0,13.7
Chennai,2026-07-07 08:00:00,32.6,48,1007.5,0.0,16.4
Chennai,2026-07-07 09:00:00,33.6,47,1007.1,0.0,16.6
Chennai,2026-07-07 10:00:00,35.1,43,1006.7,0.0,20.2
Chennai,2026-07-07 11:00:00,36.5,38,1006.0,0.0,23.4
Chennai,2026-07-07 12:00:00,37.0,37,1005.4,0.0,23.5
Chennai,2026-07-07 13:00:00,37.9,35,1004.3,0.0,22.0
Chennai,2026-07-07 14:00:00,39.0,32,1002.9,0.0,18.5
Chennai,2026-07-07 15:00:00,39.0,31,1002.3,0.0,17.4
Chennai,2026-07-07 16:00:00,37.6,34,1002.2,0.2,18.2
Chennai,2026-07-07 17:00:00,37.5,33,1002.6,0.3,18.0
Chennai,2026-07-07 18:00:00,34.8,46,1003.5,0.0,15.7
Chennai,2026-07-07 19:00:00,33.5,54,1004.8,0.0,13.7
Chennai,2026-07-07 20:00:00,33.3,52,1005.5,0.0,13.4
Chennai,2026-07-07 21:00:00,33.0,51,1006.2,0.0,12.6
Chennai,2026-07-07 22:00:00,32.5,54,1006.7,0.0,11.8
Chennai,2026-07-07 23:00:00,33.5,44,1006.1,0.0,17.3
Chennai,2026-07-08 00:00:00,32.8,45,1006.3,0.0,16.4
Chennai,2026-07-08 01:00:00,32.0,48,1005.8,0.0,15.5
Chennai,2026-07-08 02:00:00,31.6,49,1005.7,0.0,15.2
Chennai,2026-07-08 03:00:00,31.1,50,1005.8,0.0,13.7
Chennai,2026-07-08 04:00:00,30.8,51,1005.8,0.0,12.7
Chennai,2026-07-08 05:00:00,30.9,51,1006.1,0.0,12.4
Chennai,2026-07-08 06:00:00,30.5,53,1007.0,0.0,11.4
Chennai,2026-07-08 07:00:00,31.1,52,1007.4,0.0,12.4
Chennai,2026-07-08 08:00:00,32.4,49,1007.3,0.0,17.8
Chennai,2026-07-08 09:00:00,33.4,47,1007.3,0.0,18.5
Chennai,2026-07-08 10:00:00,34.4,45,1006.6,0.0,15.5
Chennai,2026-07-08 11:00:00,36.0,41,1006.2,0.0,21.2
Chennai,2026-07-08 12:00:00,36.4,39,1005.6,0.0,20.3
Chennai,2026-07-08 13:00:00,38.1,35,1004.2,0.0,19.9
Chennai,2026-07-08 14:00:00,38.6,33,1003.1,0.0,18.5
Chennai,2026-07-08 15:00:00,38.5,34,1002.5,0.0,15.5
Chennai,2026-07-08 16:00:00,37.9,35,1002.5,0.0,11.8
Chennai,2026-07-08 17:00:00,37.2,36,1003.0,0.2,18.7
Chennai,2026-07-08 18:00:00,34.6,47,1003.8,0.0,16.1
Chennai,2026-07-08 19:00:00,32.4,61,1004.9,0.0,18.2
Chennai,2026-07-08 20:00:00,31.1,67,1005.7,0.0,16.1
Chennai,2026-07-08 21:00:00,30.9,68,1006.0,0.0,14.8
Chennai,2026-07-08 22:00:00,30.8,69,1006.5,0.0,13.2
Chennai,2026-07-08 23:00:00,31.6,66,1005.8,0.0,12.5
Chennai,2026-07-09 00:00:00,32.0,57,1005.4,0.0,13.5
Chennai,2026-07-09 01:00:00,31.7,55,1004.9,0.0,13.0
Chennai,2026-07-09 02:00:00,31.5,57,1005.0,0.0,12.4
Chennai,2026-07-09 03:00:00,31.2,58,1005.1,0.0,11.6
Chennai,2026-07-09 04:00:00,30.9,59,1006.0,0.0,11.3
Chennai,2026-07-09 05:00:00,31.3,54,1006.1,0.0,15.0
Chennai,2026-07-09 06:00:00,30.8,56,1007.0,0.0,13.3
Chennai,2026-07-09 07:00:00,31.8,54,1007.6,0.0,13.9
Chennai,2026-07-09 08:00:00,32.9,51,1007.9,0.0,14.1
Chennai,2026-07-09 09:00:00,34.2,47,1007.7,0.0,12.5
Chennai,2026-07-09 10:00:00,35.6,44,1007.6,0.0,11.4
Chennai,2026-07-09 11:00:00,36.7,41,1007.0,0.0,11.3
Chennai,2026-07-09 12:00:00,37.8,38,1006.5,0.0,8.6
Chennai,2026-07-09 13:00:00,37.5,37,1005.9,0.1,4.4
Chennai,2026-07-09 14:00:00,35.7,43,1005.0,0.6,8.6
Chennai,2026-07-09 15:00:00,33.5,61,1004.5,1.6,14.2
Chennai,2026-07-09 16:00:00,32.3,66,1004.4,0.9,16.6
Chennai,2026-07-09 17:00:00,29.3,80,1005.7,0.2,9.9
Chennai,2026-07-09 18:00:00,29.6,78,1005.9,0.3,6.2
Chennai,2026-07-09 19:00:00,29.9,77,1006.5,0.0,2.5
Chennai,2026-07-09 20:00:00,29.7,78,1007.7,0.0,5.1
Chennai,2026-07-09 21:00:00,28.7,83,1008.6,0.6,6.7
Chennai,2026-07-09 22:00:00,28.1,84,1008.7,0.3,10.2
Chennai,2026-07-09 23:00:00,28.4,87,1008.1,0.6,8.2
Chennai,2026-07-10 00:00:00,28.1,90,1007.5,0.6,2.0
Chennai,2026-07-10 01:00:00,27.3,96,1006.9,2.0,3.9
Chennai,2026-07-10 02:00:00,27.9,93,1006.2,0.1,8.0
Chennai,2026-07-10 03:00:00,28.3,91,1006.3,0.0,5.6
Chennai,2026-07-10 04:00:00,28.4,89,1006.6,0.0,6.3
Chennai,2026-07-10 05:00:00,27.9,87,1007.0,0.0,10.5
Chennai,2026-07-10 06:00:00,28.1,86,1008.1,0.0,7.1
Chennai,2026-07-10 07:00:00,29.1,82,1008.7,0.0,6.4
Chennai,2026-07-10 08:00:00,30.8,72,1009.1,0.0,9.9
Chennai,2026-07-10 09:00:00,32.0,65,1009.1,0.0,10.2
Chennai,2026-07-10 10:00:00,32.9,60,1009.0,0.0,8.4
Chennai,2026-07-10 11:00:00,32.1,61,1009.0,0.1,11.1
Chennai,2026-07-10 12:00:00,32.9,59,1008.3,0.0,10.0
Chennai,2026-07-10 13:00:00,33.3,56,1007.6,0.0,9.7
Chennai,2026-07-10 14:00:00,33.6,55,1006.6,0.0,9.2
Chennai,2026-07-10 15:00:00,33.9,52,1006.1,0.0,7.8
Chennai,2026-07-10 16:00:00,33.8,52,1005.9,0.0,5.9
Chennai,2026-07-10 17:00:00,33.2,54,1006.4,0.0,5.2
Chennai,2026-07-10 18:00:00,31.1,73,1007.0,0.0,8.7
Chennai,2026-07-10 19:00:00,29.8,77,1007.6,0.0,11.3
Chennai,2026-07-10 20:00:00,29.6,73,1008.1,0.0,10.0
Chennai,2026-07-10 21:00:00,29.4,74,1009.4,0.0,17.6
Chennai,2026-07-10 22:00:00,28.9,77,1008.9,0.1,14.9
Chennai,2026-07-10 23:00:00,29.3,80,1008.6,0.0,12.6
Chennai,2026-07-11 00:00:00,28.4,79,1007.7,0.0,11.8
Chennai,2026-07-11 01:00:00,27.9,77,1006.7,0.0,10.3
Chennai,2026-07-11 02:00:00,27.5,79,1006.3,0.0,10.2
Chennai,2026-07-11 03:00:00,27.2,80,1006.4,0.0,11.0
Chennai,2026-07-11 04:00:00,27.2,80,1006.5,0.0,11.1
Chennai,2026-07-11 05:00:00,27.9,78,1006.9,0.0,10.9
Chennai,2026-07-11 06:00:00,28.0,78,1007.8,0.0,10.8
Chennai,2026-07-11 07:00:00,29.4,73,1008.5,0.0,9.4
Chennai,2026-07-11 08:00:00,31.1,63,1008.7,0.0,11.6
Chennai,2026-07-11 09:00:00,32.5,56,1008.5,0.0,12.1
Chennai,2026-07-11 10:00:00,33.8,51,1008.0,0.0,11.2
Chennai,2026-07-11 11:00:00,35.1,47,1007.1,0.0,10.7
Chennai,2026-07-11 12:00:00,35.8,43,1006.4,0.3,10.6
Chennai,2026-07-11 13:00:00,36.5,41,1005.5,0.2,10.5
Chennai,2026-07-11 14:00:00,37.3,38,1004.2,0.0,11.2
Chennai,2026-07-11 15:00:00,37.1,39,1003.9,0.0,7.4
Chennai,2026-07-11 16:00:00,36.0,42,1003.6,0.0,4.0
Chennai,2026-07-11 17:00:00,33.2,65,1003.6,0.0,10.9
Chennai,2026-07-11 18:00:00,32.0,64,1004.1,0.0,13.0
Chennai,2026-07-11 19:00:00,31.3,66,1005.0,0.0,8.8
Chennai,2026-07-11 20:00:00,30.8,72,1006.1,0.0,9.1
Chennai,2026-07-11 21:00:00,30.4,77,1006.8,0.0,10.9
Chennai,2026-07-11 22:00:00,30.1,79,1006.7,0.0,11.4
Chennai,2026-07-11 23:00:00,30.4,77,1006.1,0.0,12.4
Chennai,2026-07-12 00:00:00,30.1,79,1005.4,0.0,14.0
Chennai,2026-07-12 01:00:00,29.7,80,1004.4,0.0,14.3
Chennai,2026-07-12 02:00:00,29.5,79,1003.9,0.0,13.9
Chennai,2026-07-12 03:00:00,29.4,75,1003.9,0.0,13.6
Chennai,2026-07-12 04:00:00,29.4,68,1004.0,0.0,12.5
Chennai,2026-07-12 05:00:00,29.9,66,1003.9,0.0,12.8
Chennai,2026-07-12 06:00:00,30.0,65,1004.4,0.0,12.7
Chennai,2026-07-12 07:00:00,31.0,61,1005.2,0.0,11.0
Chennai,2026-07-12 08:00:00,32.3,54,1005.5,0.0,13.3
Chennai,2026-07-12 09:00:00,33.6,49,1005.6,0.0,12.1
Chennai,2026-07-12 10:00:00,35.2,43,1005.7,0.0,10.4
Chennai,2026-07-12 11:00:00,36.7,39,1005.0,0.0,8.8
Chennai,2026-07-12 12:00:00,37.1,37,1004.4,0.0,5.1
Chennai,2026-07-12 13:00:00,37.1,38,1003.6,0.0,3.2
Chennai,2026-07-12 14:00:00,36.3,43,1002.4,0.0,6.3
Chennai,2026-07-12 15:00:00,35.1,52,1002.2,0.0,10.1
Chennai,2026-07-12 16:00:00,34.4,56,1002.1,0.0,11.6
Chennai,2026-07-12 17:00:00,33.3,61,1002.3,0.0,14.2
Chennai,2026-07-12 18:00:00,32.2,68,1002.8,0.0,10.5
Chennai,2026-07-12 19:00:00,31.7,71,1003.7,0.0,11.4
Chennai,2026-07-12 20:00:00,31.2,75,1004.6,0.0,11.1
Chennai,2026-07-12 21:00:00,30.9,80,1005.1,0.0,10.0
Chennai,2026-07-12 22:00:00,30.6,81,1005.4,0.0,9.6
Chennai,2026-07-12 23:00:00,30.7,79,1005.0,0.0,10.8
Chennai,2026-07-13 00:00:00,30.3,79,1004.2,0.0,10.6
Chennai,2026-07-13 01:00:00,30.3,75,1003.5,0.0,9.6
Chennai,2026-07-13 02:00:00,30.1,71,1003.0,0.0,10.7
Chennai,2026-07-13 03:00:00,29.8,69,1003.2,0.0,11.0
Chennai,2026-07-13 04:00:00,29.6,73,1003.4,0.0,12.6
Chennai,2026-07-13 05:00:00,31.1,53,1003.9,0.0,16.7
Chennai,2026-07-13 06:00:00,30.7,53,1004.9,0.0,15.3
Chennai,2026-07-13 07:00:00,31.5,50,1005.6,0.0,14.6
Chennai,2026-07-13 08:00:00,32.6,47,1006.0,0.0,16.8
Chennai,2026-07-13 09:00:00,33.9,45,1006.1,0.0,16.8
Chennai,2026-07-13 10:00:00,35.4,41,1006.0,0.0,15.9
Chennai,2026-07-13 11:00:00,37.1,36,1005.8,0.0,15.2
Chennai,2026-07-13 12:00:00,37.9,33,1005.2,0.0,14.8
Chennai,2026-07-13 13:00:00,38.7,31,1004.4,0.0,12.1
Chennai,2026-07-13 14:00:00,37.9,32,1003.4,0.0,4.3
Chennai,2026-07-13 15:00:00,36.1,41,1002.8,0.0,9.0
Chennai,2026-07-13 16:00:00,35.3,45,1002.3,0.0,10.1
Chennai,2026-07-13 17:00:00,33.7,57,1002.7,0.0,14.9
Chennai,2026-07-13 18:00:00,32.4,59,1003.4,0.0,12.7
Chennai,2026-07-13 19:00:00,32.0,65,1004.1,0.0,9.1
Chennai,2026-07-13 20:00:00,31.8,67,1004.9,0.0,9.3
Chennai,2026-07-13 21:00:00,31.5,66,1005.6,0.0,11.1
Chennai,2026-07-13 22:00:00,31.1,68,1005.8,0.0,11.5
Chennai,2026-07-13 23:00:00,31.3,71,1004.9,0.0,12.8
Chennai,2026-07-14 00:00:00,30.8,72,1004.3,0.0,13.3
Chennai,2026-07-14 01:00:00,30.4,75,1003.6,0.0,10.9
Chennai,2026-07-14 02:00:00,30.2,74,1003.2,0.0,11.3
Chennai,2026-07-14 03:00:00,30.1,72,1002.9,0.0,11.0
Chennai,2026-07-14 04:00:00,30.3,63,1003.2,0.0,9.9
Chennai,2026-07-14 05:00:00,31.1,53,1003.8,0.0,13.1
Chennai,2026-07-14 06:00:00,30.6,54,1004.6,0.0,11.2
Chennai,2026-07-14 07:00:00,31.7,50,1005.3,0.0,11.2
Chennai,2026-07-14 08:00:00,32.9,47,1005.6,0.0,13.6
Chennai,2026-07-14 09:00:00,34.5,43,1005.8,0.0,12.0
Chennai,2026-07-14 10:00:00,35.8,40,1005.7,0.0,10.2
Chennai,2026-07-14 11:00:00,37.4,37,1005.2,0.0,7.9
Chennai,2026-07-14 12:00:00,37.4,38,1004.5,0.0,4.9
Chennai,2026-07-14 13:00:00,37.4,40,1004.0,0.0,6.1
Chennai,2026-07-14 14:00:00,36.4,44,1003.1,0.0,10.3
Chennai,2026-07-14 15:00:00,35.1,50,1002.9,0.0,13.7
Chennai,2026-07-14 16:00:00,34.8,50,1003.0,0.0,13.1
Chennai,2026-07-14 17:00:00,34.5,48,1003.0,0.0,9.1
Chennai,2026-07-14 18:00:00,33.7,53,1003.8,0.0,7.8
Chennai,2026-07-14 19:00:00,33.0,59,1004.7,0.0,10.7
Chennai,2026-07-14 20:00:00,32.5,57,1005.4,0.0,10.6
Chennai,2026-07-14 21:00:00,32.0,60,1006.1,0.0,10.8
Chennai,2026-07-14 22:00:00,31.2,69,1006.6,0.0,12.6
Chennai,2026-07-14 23:00:00,30.9,73,1006.0,0.0,13.1
Chennai,2026-07-15 00:00:00,30.5,73,1005.6,0.0,13.3
Chennai,2026-07-15 01:00:00,30.0,75,1005.2,0.0,13.5
Chennai,2026-07-15 02:00:00,29.5,78,1004.6,0.0,12.9
Chennai,2026-07-15 03:00:00,29.4,76,1004.7,0.0,13.0
Chennai,2026-07-15 04:00:00,29.1,74,1004.8,0.0,12.0
Chennai,2026-07-15 05:00:00,29.3,73,1005.2,0.0,12.9
Chennai,2026-07-15 06:00:00,29.1,74,1005.9,0.0,10.6
Chennai,2026-07-15 07:00:00,30.4,68,1006.2,0.0,12.3
Chennai,2026-07-15 08:00:00,32.6,54,1006.6,0.0,13.5
Chennai,2026-07-15 09:00:00,34.5,45,1006.9,0.0,13.5
Chennai,2026-07-15 10:00:00,36.1,40,1007.0,0.0,13.6
Chennai,2026-07-15 11:00:00,37.8,37,1006.3,0.0,12.8
Chennai,2026-07-15 12:00:00,38.2,34,1005.8,0.0,11.1
Chennai,2026-07-15 13:00:00,37.7,33,1005.4,0.0,4.7
Chennai,2026-07-15 14:00:00,36.6,40,1004.6,0.0,7.3
Chennai,2026-07-15 15:00:00,35.9,45,1004.2,0.0,10.0
Chennai,2026-07-15 16:00:00,35.3,48,1004.2,0.0,8.7
Chennai,2026-07-15 17:00:00,34.1,57,1004.3,0.0,12.9
Chennai,2026-07-15 18:00:00,33.2,59,1004.8,0.0,9.9
Chennai,2026-07-15 19:00:00,32.2,67,1005.4,0.0,10.9
Chennai,2026-07-15 20:00:00,31.8,68,1006.0,0.0,11.0
Chennai,2026-07-15 21:00:00,31.5,72,1006.5,0.0,12.3
Chennai,2026-07-15 22:00:00,30.9,75,1007.0,0.0,12.2
Chennai,2026-07-15 23:00:00,30.4,80,1006.4,0.0,14.3
Chennai,2026-07-16 00:00:00,30.0,79,1006.0,0.0,12.8
Chennai,2026-07-16 01:00:00,29.7,77,1005.9,0.0,12.0
Chennai,2026-07-16 02:00:00,29.6,73,1005.9,0.0,12.0
Chennai,2026-07-16 03:00:00,29.4,69,1006.1,0.0,11.8
Chennai,2026-07-16 04:00:00,29.0,69,1006.4,0.0,12.1
Chennai,2026-07-16 05:00:00,29.4,71,1006.5,0.0,12.0
Chennai,2026-07-16 06:00:00,29.4,69,1007.3,0.0,11.6
Chennai,2026-07-16 07:00:00,31.1,58,1007.9,0.0,13.7
Chennai,2026-07-16 08:00:00,33.0,44,1008.0,0.0,17.6
Chennai,2026-07-16 09:00:00,34.1,41,1008.4,0.0,16.4
Chennai,2026-07-16 10:00:00,35.4,37,1008.1,0.0,14.1
Chennai,2026-07-16 11:00:00,37.0,33,1007.1,0.0,11.8
Chennai,2026-07-16 12:00:00,37.6,31,1006.6,0.0,9.4
Chennai,2026-07-16 13:00:00,38.2,28,1005.8,0.0,8.8
Chennai,2026-07-16 14:00:00,38.0,28,1005.0,0.0,6.0
Chennai,2026-07-16 15:00:00,37.3,29,1004.8,0.0,3.0
